admin.countries.ThreeLetterISOCode,3 Letter ISO Code:,1
admin.countries.tooltip.img2LetterISOCode,ex. US,1
admin.countries.tooltip.img3LetterISOCode,ex. USA,1
admin.countries.tooltip.imgCountryName,ex. United States,1
admin.countries.tooltip.imgNumericISOCode,ex. 840,1
admin.countries.TwoLetterISOCode,2 Letter ISO Code:,1
admin.coupons.ExpirationDate,Expiration Date,1
admin.createorder.confirm,This will end your current admin session and send you to the front end of this site as the chosen customer.  Continue?,1
admin.createorder.error,There was an error starting impersonation.,1
admin.creditcards.CardType,Card Type,1
admin.creditcards.CouldntUpdateDatabase,Couldn't update database: {0} {1},1
admin.creditcards.createCCType,Create Credit Card Type,1
admin.creditcards.CreditCardAdded,Credit Card Added,1
admin.creditcards.CreditCards,Credit Card Types,1
admin.creditcards.tooltip.imgInfo,ex: Visa,1
admin.cst_account.ResetPassword,Reset Password:,1
admin.cst_account_process.event.AdminResetCustomerPassword.Success,Admin Reset Customer Password Success,1
admin.cst_history.CustomerServiceNotes,Customer Service Notes,1
admin.cst_history.DownloadListPendingPayment,Download List Pending Payment,1
admin.cst_history.FullRefundResult,Full Refund Result:,1
admin.cst_history.NotYetShipped,Not Yet Shipped,1
admin.cst_history.PartialRefundResult,Partial Refund Result:,1
admin.cst_history.PaymentStatus,Payment Status,1
admin.cst_history.PrintableReceipt,Printable Receipt,1
admin.cst_history.RestartPaymentResult,Restart Payment Result:,1
admin.cst_history.RetryPaymentResult,Retry Payment Result:,1
admin.cst_history.StopBillingResult,Stop Billing Result:,1
admin.cst_recurring.OrderHistory,Order History,1
admin.currencies.advancedLiveRates,Live Rates (Advanced),1
admin.currencies.Code,Code,1
admin.currencies.conversionTest,Conversion Test,1
admin.currencies.createCurrency,Create Currency,1
admin.currencies.created,Currency Created,1
admin.currencies.CurrencyCodeValidity,You MUST set this to a valid currency code or the store will not know to apply the exchange rates in the table. This may or may not be the same as your Localization.StoreCurrency setting.,1
admin.currencies.CurrencyFeedBaseCurrencyCode,Currency Feed Base Currency Code:,1
admin.currencies.CurrencyFeedUrl,Currency Feed Url {0}:,1
admin.currencies.CurrencyFeedXmlPackage,Currency Feed XmlPackage:,1
admin.currencies.decimalRequired,*Please enter a decimal value,1
admin.currencies.deleted,Currency Deleted,1
admin.currencies.DisplayLocale,Display Locale,1
admin.currencies.DisplaySpec,Display Spec,1
admin.currencies.EmptyString,"If you will be maintaining your exchange rate table manually, set this setting to an empty string.",1
admin.currencies.ExchangeRate,Exchange Rate,1
admin.currencies.GetLiveRates,Get Live Rates,1
admin.currencies.installed,Installed Currencies,1
admin.currencies.integerRequired,*Please enter an integer,1
admin.currencies.invalidLocale,The locale entered is invalid,1
admin.currencies.LastUpdatedOn,Last Updated On,1
admin.currencies.Published,Published,1
admin.currencies.rateMinimum,*Rate must be greater than zero,1
admin.currencies.required,*Required,1
admin.currencies.Target,Target:,1
admin.currencies.testAmount,Test Amount:,1
admin.currencies.TransformMasterXml,Transform Master Xml,1
admin.currencies.updated,Currencies Updated,1
admin.currencies.XmlPackageDoc,XMLPackage Doc (Raw Response From Rates URL),1
admin.customer.AccountLocked,Account Locked:,1
admin.customer.Affiliate,Affiliate:,1
admin.customer.anonymize,Anonymize Customer,1
admin.customer.anonymizecustomer,Anonymize:,1
admin.customer.AssignedtoStore,Assigned to Store:,1
admin.customer.BanIP,Ban This IP Address,1
admin.customer.CanViewCC,Can View Credit Card Numbers:,1
admin.customer.ClearFailedTransactions,Reset Failed Transaction Count,1
admin.customer.ClearSession,Clear Session,1
admin.customer.ClearSession2,Clear Session,1
admin.customer.confirmAnonymizeCustomer,Anonymize customer?,1
admin.customer.ConfirmBanIP,This will ban the customer's IP Address.  Any user coming from that IP will be denied access to your site.  Are you sure you want to proceed?,1
admin.customer.ConfirmClearSession,"This will clear the customer's session.  This is generally safe, however if the customer is currently in the process of checking out, they may have to start the checkout process again.  Are you sure you want to proceed?",1
admin.customer.ConfirmDelete,Are you sure you want to delete this contact?,1
admin.customer.ConfirmFailedTransaction,This will reset the customer's failed transaction count to zero.  This action cannot be undone.  Are you sure you want to proceed?,1
admin.customer.confirmManualPassword,This will reset the customer's password to the value you have specified and send them an e-mail with the temporary password. This action cannot be undone. Are you sure you want to proceed?,1
admin.customer.ConfirmRandomPassword,This will reset the customer's password to a random value and send them an e-mail with the temporary password.  This action cannot be undone.  Are you sure you want to proceed?,1
admin.customer.ConfirmStoreImpersonateSwitch,You are about to switch stores. You may need to login again with your own credentials to begin the impersonation.,1
admin.customer.ConfirmUnbanIP,This will unban the customer's IP Address.  Any user coming from that IP will be allowed access to your site.  Are you sure you want to proceed?,1
admin.customer.ConfirmUnDelete,Are you sure you want to un-delete this contact?,1
admin.customer.CreatedOn,Created On:,1
admin.customer.CreateNew,Create Contact,1
admin.customer.CreateOrder,Create Order,1
admin.customer.CustomerCreated,New contact created successfully.,1
admin.customer.CustomerCreatedEmailFailed,"The new contact was created, however sending the welcome e-mail failed. You must contact this customer to notify them that their account has been created. Refer to the system log for more information. ",1
admin.customer.CustomerID,ID:,1
admin.customer.CustomerIsMarkedAsDeleted,"Customer is marked as deleted. Undelete the customer to edit. <a href=""{0}""> Return</a>",1
admin.customer.CustomerLevel,Customer Level:,1
admin.customer.customerremoval,Data Retention,1
admin.customer.CustomerSession,Clear Customer Session:,1
admin.customer.CustomerSessionCleared,The customer's session has been cleared,1
admin.customer.CustomerUpdated,Contact Updated,1
admin.customer.DeleteTooltip,Delete Contact,1
admin.customer.EditCustomer,Edit Contact,1
admin.customer.EditCustomerAddresses,Addresses,1
admin.customer.Email,E-Mail:,1
admin.customer.EmailInUse,Error: The specified e-mail address is already in use and your site is set not to allow duplicate e-mail addresses.,1
admin.customer.EmailValidationFailed,Error: This does not appear to be a valid e-mail address,1
admin.customer.FailedTransactions,Failed Transactions:,1
admin.customer.FailedTransactionsCleared,The customer's failed transaction history has been cleared,1
admin.customer.FirstName,First Name:,1
admin.customer.ImpersonateCustomer,Impersonate Customer,1
admin.customer.IPAddress,IP Address:,1
admin.customer.IPAddressBanned,The customer's IP Address has been banned from the site,1
admin.customer.IPAddressUnbanned,The customer's IP Address has been unbanned,1
admin.customer.IsRegistered,Customer is Registered:,1
admin.customer.LastName,Last Name:,1
admin.customer.level.CreateCustomerLevel,Create Customer Level,1
admin.customer.level.DiscountPercentAmount,Please Enter a Discount Amount,1
admin.customer.level.DiscountPercentRequired,Please Enter a Discount Percent,1
admin.customer.level.SaveNewFailed,An Error Occurred While Saving,1
admin.customer.level.SaveNewSuccessful,New Customer Level Added,1
admin.customer.level.UpdateFailed,An Error Occurred While Updating,1
